modality,target_type,split,feature_selection,cross_validation,sampling,model,num_features,auc,f1,accuracy,precision,sensitivity,specificity,true_positive,false_positive,true_negative,false_negative
emu_audio_open_cleaned_gender,gad,10,pca,loo,regular_oversampling,NB,1,0.5053763440860215,0.35294117647058826,0.5510204081632653,0.375,0.3333333333333333,0.6774193548387096,6,10,21,12
emu_audio_open_cleaned_gender,gad,10,pca,loo,regular_oversampling,LR,1,0.5564516129032259,0.4615384615384615,0.5714285714285714,0.42857142857142855,0.5,0.6129032258064516,9,12,19,9
emu_audio_open_cleaned_gender,gad,10,pca,loo,regular_oversampling,SVC1,1,0.503584229390681,0.4444444444444445,0.4897959183673469,0.37037037037037035,0.5555555555555556,0.45161290322580644,10,17,14,8
emu_audio_open_cleaned_gender,gad,10,pca,loo,regular_oversampling,SVC2,1,0.5008960573476703,0.37837837837837834,0.5306122448979592,0.3684210526315789,0.3888888888888889,0.6129032258064516,7,12,19,11
emu_audio_open_cleaned_gender,gad,10,pca,loo,regular_oversampling,XG,1,0.6093189964157706,0.4848484848484848,0.6530612244897959,0.5333333333333333,0.4444444444444444,0.7741935483870968,8,7,24,10
emu_audio_open_cleaned_gender,gad,10,pca,loo,regular_oversampling,kNN3,1,0.6209677419354838,0.5142857142857143,0.6530612244897959,0.5294117647058824,0.5,0.7419354838709677,9,8,23,9
emu_audio_open_cleaned_gender,gad,10,pca,loo,regular_oversampling,RF,1,0.6093189964157706,0.4848484848484848,0.6530612244897959,0.5333333333333333,0.4444444444444444,0.7741935483870968,8,7,24,10
emu_audio_open_cleaned_gender,gad,10,pca,loo,regular_oversampling,NB,2,0.521505376344086,0.3636363636363636,0.5714285714285714,0.4,0.3333333333333333,0.7096774193548387,6,9,22,12
emu_audio_open_cleaned_gender,gad,10,pca,loo,regular_oversampling,LR,2,0.5080645161290323,0.42857142857142855,0.5102040816326531,0.375,0.5,0.5161290322580645,9,15,16,9
emu_audio_open_cleaned_gender,gad,10,pca,loo,regular_oversampling,SVC1,2,0.60752688172043,0.5454545454545455,0.5918367346938775,0.46153846153846156,0.6666666666666666,0.5483870967741935,12,14,17,6
emu_audio_open_cleaned_gender,gad,10,pca,loo,regular_oversampling,SVC2,2,0.5403225806451613,0.45,0.5510204081632653,0.4090909090909091,0.5,0.5806451612903226,9,13,18,9
emu_audio_open_cleaned_gender,gad,10,pca,loo,regular_oversampling,XG,2,0.40143369175627236,0.22857142857142856,0.4489795918367347,0.23529411764705882,0.2222222222222222,0.5806451612903226,4,13,18,14
emu_audio_open_cleaned_gender,gad,10,pca,loo,regular_oversampling,kNN3,2,0.40143369175627236,0.22857142857142856,0.4489795918367347,0.23529411764705882,0.2222222222222222,0.5806451612903226,4,13,18,14
emu_audio_open_cleaned_gender,gad,10,pca,loo,regular_oversampling,RF,2,0.44982078853046603,0.25,0.5102040816326531,0.2857142857142857,0.2222222222222222,0.6774193548387096,4,10,21,14
emu_audio_open_cleaned_gender,gad,10,pca,loo,regular_oversampling,NB,3,0.42921146953405015,0.2777777777777778,0.46938775510204084,0.2777777777777778,0.2777777777777778,0.5806451612903226,5,13,18,13
emu_audio_open_cleaned_gender,gad,10,pca,loo,regular_oversampling,LR,3,0.5609318996415771,0.4444444444444444,0.5918367346938775,0.4444444444444444,0.4444444444444444,0.6774193548387096,8,10,21,10
emu_audio_open_cleaned_gender,gad,10,pca,loo,regular_oversampling,SVC1,3,0.471326164874552,0.4255319148936171,0.4489795918367347,0.3448275862068966,0.5555555555555556,0.3870967741935484,10,19,12,8
emu_audio_open_cleaned_gender,gad,10,pca,loo,regular_oversampling,SVC2,3,0.5241935483870968,0.4390243902439025,0.5306122448979592,0.391304347826087,0.5,0.5483870967741935,9,14,17,9
emu_audio_open_cleaned_gender,gad,10,pca,loo,regular_oversampling,XG,3,0.3736559139784946,0.17647058823529413,0.42857142857142855,0.1875,0.16666666666666666,0.5806451612903226,3,13,18,15
emu_audio_open_cleaned_gender,gad,10,pca,loo,regular_oversampling,kNN3,3,0.3763440860215054,0.28571428571428575,0.3877551020408163,0.25,0.3333333333333333,0.41935483870967744,6,18,13,12
emu_audio_open_cleaned_gender,gad,10,pca,loo,regular_oversampling,RF,3,0.40591397849462363,0.1875,0.46938775510204084,0.21428571428571427,0.16666666666666666,0.6451612903225806,3,11,20,15
emu_audio_open_cleaned_gender,gad,10,pca,loo,regular_oversampling,NB,4,0.5241935483870968,0.4390243902439025,0.5306122448979592,0.391304347826087,0.5,0.5483870967741935,9,14,17,9
emu_audio_open_cleaned_gender,gad,10,pca,loo,regular_oversampling,LR,4,0.5842293906810035,0.5,0.5918367346938775,0.45454545454545453,0.5555555555555556,0.6129032258064516,10,12,19,8
