modality,target_type,split,feature_selection,cross_validation,sampling,model,num_features,auc,f1,accuracy,precision,sensitivity,specificity,true_positive,false_positive,true_negative,false_negative
emu_audio_open_cleaned_demographic,phq,10,pca,loo,regular_oversampling,NB,1,0.5852842809364549,0.5238095238095238,0.5918367346938775,0.5789473684210527,0.4782608695652174,0.6923076923076923,11,8,18,12
emu_audio_open_cleaned_demographic,phq,10,pca,loo,regular_oversampling,LR,1,0.6287625418060201,0.5909090909090909,0.6326530612244898,0.6190476190476191,0.5652173913043478,0.6923076923076923,13,8,18,10
emu_audio_open_cleaned_demographic,phq,10,pca,loo,regular_oversampling,SVC1,1,0.6045150501672241,0.5365853658536586,0.6122448979591837,0.6111111111111112,0.4782608695652174,0.7307692307692307,11,7,19,12
emu_audio_open_cleaned_demographic,phq,10,pca,loo,regular_oversampling,SVC2,1,0.5852842809364549,0.5238095238095238,0.5918367346938775,0.5789473684210527,0.4782608695652174,0.6923076923076923,11,8,18,12
emu_audio_open_cleaned_demographic,phq,10,pca,loo,regular_oversampling,XG,1,0.5033444816053512,0.42857142857142855,0.5102040816326531,0.47368421052631576,0.391304347826087,0.6153846153846154,9,10,16,14
emu_audio_open_cleaned_demographic,phq,10,pca,loo,regular_oversampling,kNN3,1,0.5250836120401338,0.46511627906976744,0.5306122448979592,0.5,0.43478260869565216,0.6153846153846154,10,10,16,13
emu_audio_open_cleaned_demographic,phq,10,pca,loo,regular_oversampling,RF,1,0.5225752508361203,0.4390243902439025,0.5306122448979592,0.5,0.391304347826087,0.6538461538461539,9,9,17,14
emu_audio_open_cleaned_demographic,phq,10,pca,loo,regular_oversampling,NB,2,0.6454849498327758,0.5853658536585366,0.6530612244897959,0.6666666666666666,0.5217391304347826,0.7692307692307693,12,6,20,11
emu_audio_open_cleaned_demographic,phq,10,pca,loo,regular_oversampling,LR,2,0.6120401337792643,0.5957446808510638,0.6122448979591837,0.5833333333333334,0.6086956521739131,0.6153846153846154,14,10,16,9
emu_audio_open_cleaned_demographic,phq,10,pca,loo,regular_oversampling,SVC1,2,0.6479933110367893,0.6046511627906976,0.6530612244897959,0.65,0.5652173913043478,0.7307692307692307,13,7,19,10
emu_audio_open_cleaned_demographic,phq,10,pca,loo,regular_oversampling,SVC2,2,0.6237458193979932,0.55,0.6326530612244898,0.6470588235294118,0.4782608695652174,0.7692307692307693,11,6,20,12
emu_audio_open_cleaned_demographic,phq,10,pca,loo,regular_oversampling,XG,2,0.5058528428093645,0.4545454545454545,0.5102040816326531,0.47619047619047616,0.43478260869565216,0.5769230769230769,10,11,15,13
emu_audio_open_cleaned_demographic,phq,10,pca,loo,regular_oversampling,kNN3,2,0.6747491638795987,0.6666666666666666,0.673469387755102,0.64,0.6956521739130435,0.6538461538461539,16,9,17,7
emu_audio_open_cleaned_demographic,phq,10,pca,loo,regular_oversampling,RF,2,0.5877926421404682,0.5454545454545454,0.5918367346938775,0.5714285714285714,0.5217391304347826,0.6538461538461539,12,9,17,11
emu_audio_open_cleaned_demographic,phq,10,pca,loo,regular_oversampling,NB,3,0.5443143812709029,0.47619047619047616,0.5510204081632653,0.5263157894736842,0.43478260869565216,0.6538461538461539,10,9,17,13
emu_audio_open_cleaned_demographic,phq,10,pca,loo,regular_oversampling,LR,3,0.5903010033444815,0.5652173913043478,0.5918367346938775,0.5652173913043478,0.5652173913043478,0.6153846153846154,13,10,16,10
emu_audio_open_cleaned_demographic,phq,10,pca,loo,regular_oversampling,SVC1,3,0.6120401337792643,0.5957446808510638,0.6122448979591837,0.5833333333333334,0.6086956521739131,0.6153846153846154,14,10,16,9
emu_audio_open_cleaned_demographic,phq,10,pca,loo,regular_oversampling,SVC2,3,0.5518394648829431,0.5416666666666667,0.5510204081632653,0.52,0.5652173913043478,0.5384615384615384,13,12,14,10
emu_audio_open_cleaned_demographic,phq,10,pca,loo,regular_oversampling,XG,3,0.5735785953177257,0.5714285714285715,0.5714285714285714,0.5384615384615384,0.6086956521739131,0.5384615384615384,14,12,14,9
emu_audio_open_cleaned_demographic,phq,10,pca,loo,regular_oversampling,kNN3,3,0.6362876254180602,0.6399999999999999,0.6326530612244898,0.5925925925925926,0.6956521739130435,0.5769230769230769,16,11,15,7
emu_audio_open_cleaned_demographic,phq,10,pca,loo,regular_oversampling,RF,3,0.5443143812709029,0.47619047619047616,0.5510204081632653,0.5263157894736842,0.43478260869565216,0.6538461538461539,10,9,17,13
emu_audio_open_cleaned_demographic,phq,10,pca,loo,regular_oversampling,NB,4,0.5493311036789298,0.5217391304347826,0.5510204081632653,0.5217391304347826,0.5217391304347826,0.5769230769230769,12,11,15,11
emu_audio_open_cleaned_demographic,phq,10,pca,loo,regular_oversampling,LR,4,0.5493311036789298,0.5217391304347826,0.5510204081632653,0.5217391304347826,0.5217391304347826,0.5769230769230769,12,11,15,11
emu_audio_open_cleaned_demographic,phq,10,pca,loo,regular_oversampling,SVC1,4,0.5760869565217391,0.5882352941176471,0.5714285714285714,0.5357142857142857,0.6521739130434783,0.5,15,13,13,8
emu_audio_open_cleaned_demographic,phq,10,pca,loo,regular_oversampling,SVC2,4,0.4941471571906354,0.5098039215686274,0.4897959183673469,0.4642857142857143,0.5652173913043478,0.4230769230769231,13,15,11,10
emu_audio_open_cleaned_demographic,phq,10,pca,loo,regular_oversampling,XG,4,0.48662207357859527,0.4444444444444445,0.4897959183673469,0.45454545454545453,0.43478260869565216,0.5384615384615384,10,12,14,13
emu_audio_open_cleaned_demographic,phq,10,pca,loo,regular_oversampling,kNN3,4,0.5877926421404682,0.5454545454545454,0.5918367346938775,0.5714285714285714,0.5217391304347826,0.6538461538461539,12,9,17,11
emu_audio_open_cleaned_demographic,phq,10,pca,loo,regular_oversampling,RF,4,0.5660535117056855,0.5116279069767442,0.5714285714285714,0.55,0.4782608695652174,0.6538461538461539,11,9,17,12
emu_audio_open_cleaned_demographic,phq,10,pca,loo,regular_oversampling,NB,5,0.5392976588628763,0.4210526315789474,0.5510204081632653,0.5333333333333333,0.34782608695652173,0.7307692307692307,8,7,19,15
emu_audio_open_cleaned_demographic,phq,10,pca,loo,regular_oversampling,LR,5,0.4841137123745819,0.4186046511627907,0.4897959183673469,0.45,0.391304347826087,0.5769230769230769,9,11,15,14
emu_audio_open_cleaned_demographic,phq,10,pca,loo,regular_oversampling,SVC1,5,0.6312709030100335,0.6086956521739131,0.6326530612244898,0.6086956521739131,0.6086956521739131,0.6538461538461539,14,9,17,9
emu_audio_open_cleaned_demographic,phq,10,pca,loo,regular_oversampling,SVC2,5,0.48913043478260865,0.4680851063829787,0.4897959183673469,0.4583333333333333,0.4782608695652174,0.5,11,13,13,12
emu_audio_open_cleaned_demographic,phq,10,pca,loo,regular_oversampling,XG,5,0.6287625418060201,0.5909090909090909,0.6326530612244898,0.6190476190476191,0.5652173913043478,0.6923076923076923,13,8,18,10
emu_audio_open_cleaned_demographic,phq,10,pca,loo,regular_oversampling,kNN3,5,0.6262541806020068,0.5714285714285715,0.6326530612244898,0.631578947368421,0.5217391304347826,0.7307692307692307,12,7,19,11
emu_audio_open_cleaned_demographic,phq,10,pca,loo,regular_oversampling,RF,5,0.5877926421404682,0.5454545454545454,0.5918367346938775,0.5714285714285714,0.5217391304347826,0.6538461538461539,12,9,17,11
emu_audio_open_cleaned_demographic,phq,10,pca,loo,regular_oversampling,NB,6,0.5008361204013377,0.39999999999999997,0.5102040816326531,0.47058823529411764,0.34782608695652173,0.6538461538461539,8,9,17,15
emu_audio_open_cleaned_demographic,phq,10,pca,loo,regular_oversampling,LR,6,0.4841137123745819,0.4186046511627907,0.4897959183673469,0.45,0.391304347826087,0.5769230769230769,9,11,15,14
emu_audio_open_cleaned_demographic,phq,10,pca,loo,regular_oversampling,SVC1,6,0.6120401337792643,0.5957446808510638,0.6122448979591837,0.5833333333333334,0.6086956521739131,0.6153846153846154,14,10,16,9
emu_audio_open_cleaned_demographic,phq,10,pca,loo,regular_oversampling,SVC2,6,0.36371237458193983,0.31111111111111117,0.3673469387755102,0.3181818181818182,0.30434782608695654,0.4230769230769231,7,15,11,16
emu_audio_open_cleaned_demographic,phq,10,pca,loo,regular_oversampling,XG,6,0.5518394648829431,0.5416666666666667,0.5510204081632653,0.52,0.5652173913043478,0.5384615384615384,13,12,14,10
emu_audio_open_cleaned_demographic,phq,10,pca,loo,regular_oversampling,kNN3,6,0.6095317725752508,0.5777777777777778,0.6122448979591837,0.5909090909090909,0.5652173913043478,0.6538461538461539,13,9,17,10
emu_audio_open_cleaned_demographic,phq,10,pca,loo,regular_oversampling,RF,6,0.5685618729096991,0.5333333333333332,0.5714285714285714,0.5454545454545454,0.5217391304347826,0.6153846153846154,12,10,16,11
emu_audio_open_cleaned_demographic,phq,10,pca,loo,regular_oversampling,NB,7,0.459866220735786,0.35,0.46938775510204084,0.4117647058823529,0.30434782608695654,0.6153846153846154,7,10,16,16
emu_audio_open_cleaned_demographic,phq,10,pca,loo,regular_oversampling,LR,7,0.5275919732441471,0.4888888888888889,0.5306122448979592,0.5,0.4782608695652174,0.5769230769230769,11,11,15,12
emu_audio_open_cleaned_demographic,phq,10,pca,loo,regular_oversampling,SVC1,7,0.6312709030100335,0.6086956521739131,0.6326530612244898,0.6086956521739131,0.6086956521739131,0.6538461538461539,14,9,17,9
emu_audio_open_cleaned_demographic,phq,10,pca,loo,regular_oversampling,SVC2,7,0.5108695652173914,0.4999999999999999,0.5102040816326531,0.48,0.5217391304347826,0.5,12,13,13,11
emu_audio_open_cleaned_demographic,phq,10,pca,loo,regular_oversampling,XG,7,0.5108695652173914,0.4999999999999999,0.5102040816326531,0.48,0.5217391304347826,0.5,12,13,13,11
emu_audio_open_cleaned_demographic,phq,10,pca,loo,regular_oversampling,kNN3,7,0.6505016722408027,0.6222222222222223,0.6530612244897959,0.6363636363636364,0.6086956521739131,0.6923076923076923,14,8,18,9
